1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,Family
2,9,6,0,5,15998.206399999986,6.74456787109375,108.83133605442167,15,2,7,8,8,13,9,0,11,18,2,6,7,3,3,5,7,18,2,3,0,0,0,0,2,0,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,3,0,0,1,0,0,0,0,1,3,0,1,2,0,0,0,0,0,2,1,1,1,0,2,0,0,0,0,1,1,1,0,2,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,3,1,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,1,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,4,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,2,47,38,24,13,23,11,1,2,1,5,0,0,10,9,5,2,4,0,9,3,1,0,5,6,1,4,2,0,0,8,0,3,8,1,2,9,0,1,14,4,11,Globin
1,10,4,0,11,15257.359099999983,8.71685791015625,107.4461908450703,21,1,8,4,7,7,10,0,11,18,3,4,7,1,3,11,9,13,1,3,0,0,0,0,2,0,1,1,0,1,0,0,0,1,2,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,2,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,2,2,0,0,0,0,1,0,0,1,0,2,0,1,2,0,1,1,0,0,0,0,1,0,2,2,2,0,0,1,0,0,0,0,0,4,1,2,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,3,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,1,55,34,17,11,24,15,0,1,0,5,0,0,8,4,3,2,9,0,12,2,1,0,5,5,0,1,1,2,0,5,0,3,5,1,3,11,0,1,17,3,10,Globin
1,7,5,0,11,16126.239999999985,6.64483642578125,109.70231292516996,11,1,8,8,8,13,7,4,12,17,3,5,4,4,3,11,10,13,3,2,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,1,3,0,0,3,0,0,0,0,0,3,0,0,2,0,0,0,0,1,2,1,1,1,0,2,0,0,0,1,1,0,0,1,3,1,0,2,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,2,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,49,37,25,13,22,12,1,2,1,5,0,0,9,8,4,2,4,0,8,2,0,0,6,7,0,4,2,0,0,8,0,4,7,1,2,10,0,1,14,4,11,Globin
2,13,18,0,15,43867.1171000001,5.48394775390625,110.77554823232347,43,2,20,29,21,32,13,16,21,34,10,18,21,20,15,15,21,27,6,12,0,1,0,0,4,1,0,0,1,4,3,0,0,2,2,0,0,1,3,1,0,0,5,0,0,2,0,2,3,1,0,0,2,1,0,4,0,0,1,2,3,0,0,2,0,0,0,1,4,3,0,2,3,1,0,2,0,1,3,1,0,0,0,3,0,3,2,0,0,2,1,3,0,2,1,1,1,0,1,3,1,0,0,2,2,1,3,2,3,0,0,3,0,1,1,1,0,3,0,4,3,0,1,0,0,3,0,1,0,1,1,0,1,3,1,1,2,2,2,0,1,1,0,4,2,2,1,2,1,3,1,0,0,1,1,0,0,0,0,1,1,1,3,0,0,1,2,0,1,0,1,3,0,0,1,0,1,0,1,2,3,0,0,0,1,0,2,1,1,1,2,3,2,1,0,0,0,0,1,0,1,2,4,0,0,1,0,0,0,0,1,1,0,0,0,6,4,1,0,0,0,2,1,0,0,0,1,0,1,2,1,1,3,3,1,0,0,0,1,0,3,1,0,0,0,0,2,0,3,3,0,0,1,0,2,0,2,0,2,0,2,0,0,2,1,0,0,0,1,0,2,2,0,3,0,1,0,0,4,0,1,0,1,2,2,0,0,1,0,1,1,0,1,1,1,0,0,1,1,2,1,0,0,1,1,0,1,3,1,1,0,1,2,2,0,0,0,1,0,0,2,1,0,0,1,0,0,0,2,2,0,0,0,1,0,1,1,0,2,0,1,4,0,0,1,0,0,0,1,2,0,0,0,2,1,1,2,0,0,4,0,2,2,0,1,1,1,1,0,1,1,0,0,2,5,0,4,0,0,0,0,0,1,2,0,0,1,0,2,0,2,0,0,1,2,0,0,1,3,0,0,2,2,1,0,0,1,0,0,0,3,4,0,3,1,1,1,0,0,1,2,132,87,87,39,49,35,14,10,0,16,0,1,9,17,12,5,19,0,19,4,0,0,12,24,1,13,7,7,1,12,1,3,27,5,11,28,0,0,32,9,32,Globin
2,7,8,0,6,16055.282399999987,7.83978271484375,109.21960816326522,15,2,7,7,8,13,7,0,11,18,3,8,6,5,4,6,5,17,2,3,0,0,0,0,3,0,2,1,0,1,0,1,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,3,0,0,0,0,0,0,0,1,3,0,1,2,0,0,0,0,0,2,1,1,1,0,2,1,0,0,0,1,0,1,0,2,1,0,0,0,1,1,0,0,0,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0,3,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,2,45,38,27,13,22,9,2,2,1,6,0,0,10,9,5,2,4,0,9,2,1,0,5,7,1,3,2,0,0,8,0,2,10,1,3,8,0,1,13,4,13,Globin
2,13,15,0,18,44781.51850000003,5.48260498046875,111.12039330024821,39,2,25,25,13,30,13,24,19,34,12,15,27,23,18,18,10,34,3,19,0,3,0,0,3,0,1,0,2,0,3,0,0,3,1,0,0,2,2,3,1,1,5,1,0,0,0,0,4,0,0,0,1,0,0,1,0,0,1,2,5,0,2,3,0,1,0,0,3,4,0,0,4,0,0,1,2,1,1,0,0,0,0,3,3,0,1,0,1,0,3,1,2,2,1,0,0,0,2,1,1,0,1,1,3,0,4,1,1,3,1,0,0,1,0,0,0,4,0,5,2,1,2,0,2,3,2,0,1,0,0,0,0,2,1,3,1,2,0,0,1,0,3,1,2,1,2,3,2,2,1,0,1,1,2,2,0,1,0,2,2,0,2,1,2,2,0,1,2,2,2,2,1,1,0,0,1,3,2,1,0,0,0,0,0,0,2,0,1,1,4,4,0,2,0,0,1,0,0,1,2,0,2,0,0,0,1,0,1,0,2,2,0,0,0,2,1,0,0,0,2,1,0,0,0,1,1,0,2,0,0,1,2,2,2,0,0,0,0,2,3,0,1,0,2,1,0,0,0,1,0,2,1,1,0,1,0,0,4,0,0,1,0,1,1,0,1,0,0,1,4,1,0,1,0,0,0,1,2,2,0,0,0,1,1,0,1,4,2,0,0,1,0,0,0,1,2,2,2,1,2,0,0,0,3,0,1,2,0,3,1,1,2,2,0,0,0,2,1,0,0,0,0,1,1,1,0,0,6,0,0,1,1,1,0,1,0,3,0,2,2,2,3,1,0,1,0,0,1,1,0,0,0,0,3,0,2,1,0,1,0,2,1,1,0,1,2,2,1,0,3,2,0,2,1,0,2,1,0,0,3,0,1,2,0,3,1,0,2,1,0,1,0,1,1,0,1,0,1,0,0,1,2,2,0,0,4,1,0,0,3,1,0,0,0,1,1,0,2,2,2,124,104,88,35,50,29,18,10,0,15,0,0,10,23,14,4,17,0,11,3,0,0,21,29,1,13,9,7,1,11,1,1,25,3,7,31,0,1,32,11,30,Globin
1,7,5,0,11,16140.266599999986,6.64483642578125,109.79773197278902,12,1,8,8,8,12,7,4,12,17,3,5,4,4,3,11,10,13,3,2,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,1,3,0,0,3,0,0,0,0,0,3,0,0,2,0,0,0,0,1,2,1,1,1,0,2,0,0,0,1,1,0,0,1,3,1,0,2,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,2,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,49,37,25,13,22,12,1,2,1,5,0,0,9,8,4,2,4,0,8,2,0,0,6,7,0,4,2,0,0,8,0,4,7,1,2,10,0,1,14,4,11,Globin
2,10,8,0,6,15979.191399999983,7.87066650390625,108.70198231292505,16,2,9,5,7,14,10,4,12,17,3,8,5,3,3,6,4,14,2,3,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,1,1,0,0,3,0,0,0,0,1,4,0,2,1,0,0,0,0,1,1,1,1,1,0,2,0,0,0,0,1,0,2,1,2,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,1,1,2,0,1,2,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,4,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,3,0,0,3,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,45,38,25,12,25,9,1,3,1,5,0,0,12,10,5,2,4,0,9,4,0,1,6,5,0,4,2,0,0,6,1,2,10,1,2,7,0,1,12,4,11,Globin
4,15,17,0,17,44645.814400000054,5.85760498046875,111.89427167919813,39,4,18,33,13,19,15,30,31,36,10,17,21,16,10,17,24,28,4,14,0,2,0,0,1,0,1,1,0,2,2,0,0,3,1,0,0,1,1,0,1,0,4,0,0,0,0,2,1,1,0,0,2,7,0,3,1,0,2,1,5,1,0,2,1,2,0,1,4,1,0,3,2,1,0,4,2,2,2,2,0,0,0,5,1,2,0,0,2,3,2,1,0,1,1,0,1,0,1,0,1,0,0,1,3,0,2,3,1,3,1,1,0,3,0,0,0,4,2,6,3,1,1,0,0,3,0,0,1,2,2,1,0,2,1,1,1,0,0,0,3,1,3,2,2,0,0,3,1,5,1,0,2,0,0,0,0,1,1,1,1,0,1,2,1,0,0,2,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,1,0,0,0,2,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,2,1,0,1,1,1,0,0,1,1,1,3,3,0,0,1,1,1,0,1,0,1,2,1,1,0,1,2,1,2,0,0,0,2,2,0,3,2,0,0,0,1,1,0,0,1,1,0,0,4,0,0,3,0,1,0,1,3,0,1,0,0,1,1,0,0,0,0,0,1,1,2,1,3,0,3,2,4,0,3,0,2,2,1,0,2,3,1,2,1,2,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,1,0,0,1,1,5,0,0,0,0,2,1,2,2,4,0,3,1,1,0,1,1,0,1,0,0,2,0,1,1,2,1,0,1,0,0,1,2,4,3,0,0,2,1,0,2,0,0,2,1,1,0,1,0,3,1,2,3,0,3,1,1,1,0,0,2,1,0,2,2,0,1,0,5,2,1,1,0,0,1,0,0,2,1,0,0,0,1,2,0,1,0,4,120,104,84,31,56,26,14,7,1,21,0,1,10,24,10,3,17,0,13,7,0,1,18,23,1,13,6,8,0,11,3,5,22,2,8,35,0,1,30,13,24,Globin
3,10,3,0,11,15328.352699999989,7.81414794921875,107.9461457746478,17,3,10,4,7,10,10,3,12,15,3,3,6,2,3,11,9,10,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,3,2,3,0,0,0,0,0,1,2,0,1,1,0,2,1,1,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,2,1,0,1,0,0,0,0,0,1,1,0,2,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,3,0,0,2,0,0,2,0,0,1,3,53,31,19,11,25,16,1,0,0,6,0,1,7,3,2,2,9,1,10,3,1,1,5,5,0,3,1,2,1,6,0,3,3,1,3,10,0,1,14,4,9,Globin
